mes,indice_base_dic2018,variacion_anual_pct
1954-07,0.03,
1954-08,0.03,
1954-09,0.03,
1954-10,0.03,
1954-11,0.03,
1954-12,0.03,
1955-01,0.03,
1955-02,0.03,
1955-03,0.03,
1955-04,0.03,
1955-05,0.03,
1955-06,0.03,
1955-07,0.03,0.0
1955-08,0.03,0.0
1955-09,0.03,0.0
1955-10,0.03,0.0
1955-11,0.03,0.0
1955-12,0.03,0.0
1956-01,0.03,0.0
1956-02,0.03,0.0
1956-03,0.03,0.0
1956-04,0.03,0.0
1956-05,0.03,0.0
1956-06,0.03,0.0
1956-07,0.03,0.0
1956-08,0.03,0.0
1956-09,0.03,0.0
1956-10,0.03,0.0
1956-11,0.03,0.0
1956-12,0.03,0.0
1957-01,0.03,0.0
1957-02,0.03,0.0
1957-03,0.03,0.0
1957-04,0.03,0.0
1957-05,0.03,0.0
1957-06,0.03,0.0
1957-07,0.03,0.0
1957-08,0.03,0.0
1957-09,0.03,0.0
1957-10,0.03,0.0
1957-11,0.03,0.0
1957-12,0.03,0.0
1958-01,0.03,0.0
1958-02,0.03,0.0
1958-03,0.04,33.33
1958-04,0.04,33.33
1958-05,0.04,33.33
1958-06,0.04,33.33
1958-07,0.04,33.33
1958-08,0.04,33.33
1958-09,0.04,33.33
1958-10,0.04,33.33
1958-11,0.04,33.33
1958-12,0.04,33.33
1959-01,0.04,33.33
1959-02,0.04,33.33
1959-03,0.04,0.0
1959-04,0.04,0.0
1959-05,0.04,0.0
1959-06,0.04,0.0
1959-07,0.04,0.0
1959-08,0.04,0.0
1959-09,0.04,0.0
1959-10,0.04,0.0
1959-11,0.04,0.0
1959-12,0.04,0.0
1960-01,0.04,0.0
1960-02,0.04,0.0
1960-03,0.04,0.0
1960-04,0.04,0.0
1960-05,0.04,0.0
1960-06,0.04,0.0
1960-07,0.04,0.0
1960-08,0.04,0.0
1960-09,0.04,0.0
1960-10,0.04,0.0
1960-11,0.04,0.0
1960-12,0.04,0.0
1961-01,0.04,0.0
1961-02,0.04,0.0
1961-03,0.04,0.0
1961-04,0.05,25.0
1961-05,0.05,25.0
1961-06,0.05,25.0
1961-07,0.05,25.0
1961-08,0.05,25.0
1961-09,0.05,25.0
1961-10,0.05,25.0
1961-11,0.05,25.0
1961-12,0.05,25.0
1962-01,0.05,25.0
1962-02,0.05,25.0
1962-03,0.05,25.0
1962-04,0.05,0.0
